Day,TimeOfDay,HourlyAverage
Weekday,0,82.89367268
Weekday,1,46.75404248
Weekday,2,28.55135961
Weekday,3,21.79127765
Weekday,4,20.75336377
Weekday,5,54.94095341
Weekday,6,186.6483075
Weekday,7,482.3755619
Weekday,8,992.0520298
Weekday,9,751.8542243
Weekday,10,654.6419854
Weekday,11,772.0623934
Weekday,12,1212.053472
Weekday,13,1233.561288
Weekday,14,987.5308858
Weekday,15,990.6578117
Weekday,16,1167.82111
Weekday,17,1499.200879
Weekday,18,1111.675619
Weekday,19,766.4004692
Weekday,20,605.5341352
Weekday,21,506.6202297
Weekday,22,387.1331393
Weekday,23,227.3469545
Weekend,0,248.5953918
Weekend,1,161.6363514
Weekend,2,103.5548509
Weekend,3,81.8259422
Weekend,4,52.56237268
Weekend,5,46.56531317
Weekend,6,65.01026817
Weekend,7,116.1989611
Weekend,8,206.891542
Weekend,9,358.6654131
Weekend,10,557.3218598
Weekend,11,744.1711086
Weekend,12,920.6152889
Weekend,13,1001.463035
Weekend,14,997.4011395
Weekend,15,991.6025566
Weekend,16,974.9527667
Weekend,17,912.3660419
Weekend,18,846.8440914
Weekend,19,743.4190238
Weekend,20,609.6446737
Weekend,21,522.933713
Weekend,22,452.4288324
Weekend,23,290.8095963
